"Term"	"Misregulated"	"Total"	"Ratio"
"ABA"	66	67	0.985074626865672
"Auxin"	223	497	0.448692152917505
"Auxin_transport"	22	32	0.6875
"ABC"	3	4	0.75
"PIN"	3	4	0.75
"AUX"	1	2	0.5
"Auxin_metabolism"	32	45	0.711111111111111
"GH3"	9	10	0.9
"iaa_metabolism_other"	17	18	0.944444444444444
"YUCCAs"	5	6	0.833333333333333
"TAA"	3	4	0.75
"Auxin_induced"	142	358	0.396648044692737
"SAUR"	30	31	0.967741935483871
"Auxin_signaling"	15	62	0.241935483870968
"ARF"	5	6	0.833333333333333
"IAA"	8	9	0.888888888888889
"Brassinosteroid"	15	16	0.9375
"Cytokinin"	20	21	0.952380952380952
"Ethylene"	44	45	0.977777777777778
"Gibberellin"	13	14	0.928571428571429
"Stress"	175	176	0.994318181818182
"Cold"	39	40	0.975
"Heat"	51	52	0.980769230769231
"HSPs"	40	41	0.975609756097561
"Drought"	36	37	0.972972972972973
"Salt"	53	54	0.981481481481482
"Vacuol"	41	42	0.976190476190476
"Sweet"	3	4	0.75
"Kinase"	362	363	0.997245179063361
"E3.ligase"	3	4	0.75
"Ubiquitin"	91	92	0.989130434782609
"Phytochrome"	15	16	0.9375
"Cryptochrome"	5	6	0.833333333333333
"Phototropin"	15	16	0.9375
"Clock"	10	11	0.909090909090909
"Light"	75	76	0.986842105263158
"Elongation.Factor"	20	21	0.952380952380952
"protein.translation"	2	3	0.666666666666667
"translation.initiation"	15	16	0.9375
"translation_full"	64	65	0.984615384615385
"translation"	54	55	0.981818181818182
"miRNAs"	10	11	0.909090909090909
"ribosome"	57	58	0.982758620689655
"ribosome_and_KEGG"	217	349	0.621776504297994
"RNA.meth"	6	7	0.857142857142857
"tRNA"	60	61	0.983606557377049
"RUBISCO"	10	11	0.909090909090909
"RNA.binding"	507	1483	0.341874578556979
"mitochondria"	129	130	0.992307692307692
"plastid"	84	85	0.988235294117647
"chloroplast"	200	201	0.995024875621891
"photosystem"	18	19	0.947368421052632
"electron.transport"	3	4	0.75
"nucleolus"	6	7	0.857142857142857
"dna.polymerase"	11	12	0.916666666666667
"dna.replication"	18	19	0.947368421052632
"dna.repair"	18	19	0.947368421052632
"transcription"	367	368	0.997282608695652
"chromatin"	41	42	0.976190476190476
"histone"	80	81	0.987654320987654
"silencing"	25	26	0.961538461538462
"miRNA"	14	15	0.933333333333333
"kinesin"	21	22	0.954545454545455
"microtubule"	21	22	0.954545454545455
"microtubule_associated"	47	48	0.979166666666667
"actin.depolym"	2	3	0.666666666666667
"glucose_metabolism"	24	25	0.96
"sucrose_metabolism"	14	15	0.933333333333333
"starch"	18	19	0.947368421052632
"cellulose"	28	29	0.96551724137931
"lignin"	6	7	0.857142857142857
"pectin"	34	35	0.971428571428571
"EXP"	12	13	0.923076923076923
"XTH"	15	16	0.9375
"fatty.acid"	41	42	0.976190476190476
"lipid"	101	102	0.990196078431373
"lipase"	44	45	0.977777777777778
"long.chain.fatty"	14	15	0.933333333333333
"ATPase"	52	53	0.981132075471698
"cell.division"	32	33	0.96969696969697
"cell.cycle"	36	37	0.972972972972973
"cdc"	6	7	0.857142857142857
"cdk"	13	14	0.928571428571429
"cyc"	28	29	0.96551724137931
"meristem"	65	66	0.984848484848485
"autophagy"	9	10	0.9
"phagy"	9	10	0.9
"growth"	126	127	0.992125984251969
"snrk"	9	10	0.9
"trehalose"	6	7	0.857142857142857
"calcium"	63	64	0.984375
