ABA	Auxin	Auxin_transport	ABC	PIN	AUX	Auxin_metabolism	GH3	iaa_metabolism_other	YUCCAs	TAA	Auxin_induced	SAUR	Auxin_signaling	ARF	IAA	Brassinosteroid	Cytokinin	Ethylene	Gibberellin	Stress	Cold	Heat	HSPs	Drought	Salt	Vacuol	Sweet	Kinase	E3 ligase	Ubiquitin	Phytochrome	Cryptochrome	Phototropin	Clock	Light	Elongation Factor	protein translation	translation initiation	translation_full	translation	miRNAs	ribosome	ribosome_and_KEGG	RNA meth	tRNA	RUBISCO	RNA binding	mitochondria	plastid	chloroplast	photosystem	electron transport	nucleolus	dna polymerase	dna replication	dna repair	transcription	chromatin	histone	silencing	miRNA	kinesin	microtubule	microtubule_associated	actin depolym	glucose_metabolism	sucrose_metabolism	starch	cellulose	lignin	pectin	EXP	XTH	fatty acid	lipid	lipase	long chain fatty	ATPase	cell division	cell cycle	cdc	cdk	cyc	meristem	autophagy	phagy	growth	snrk	trehalose	calcium
AT1G01360	AT1G01120	AT1G10680	AT2G47000	AT1G23080	AT2G38120	AT1G04180	AT2G47750	AT3G02875	AT1G04180	AT1G70560	AT1G01120	AT1G16510	AT1G04100	AT1G19850	AT4G14560	AT1G18400	AT1G03430	AT1G03800	AT1G15550	AT1G04980	AT1G36160	AT1G07890	AT1G54050	AT3G06760	AT2G24040	AT2G01770	AT5G23660	AT1G48405	AT1G02860	AT5G02020	AT2G46970	AT4G08810	AT1G67900	AT2G21660	AT2G42610	AT1G69410	AT5G64320	AT5G01940	AT1G07920	AT3G59670	AT5G08185	AT3G62910	AT1G01100	AT2G19870	AT2G02430	AT5G28500	AT1G01040	AT5G51150	AT5G38150	AT3G53530	AT3G27690	AT5G66600	AT3G59550	AT5G44750	AT1G08840	AT1G09995	AT2G36270	AT1G20690	AT2G18050	AT4G15950	AT3G06670	AT1G01950	AT1G27920	AT1G01950	AT1G01750	AT1G12780	AT4G02280	AT3G30720	AT2G35650	AT3G50740	AT5G48900	AT1G20190	AT1G10550	AT5G22500	AT4G11610	AT5G15720	AT5G02890	AT4G30110	AT1G09770	AT4G35770	AT1G09770	AT3G54180	AT3G60550	AT1G19040	AT3G49590	AT3G49590	AT1G30845	AT3G19290	AT1G60140	AT4G11610
AT1G05470	AT1G02360	AT1G23080	AT3G28860	AT1G70940		AT1G04250	AT1G28130	AT3G44300	AT4G13260	AT1G80360	AT1G02360	AT1G19840	AT1G04240	AT2G28350	AT1G19850	AT1G19350	AT1G13430	AT1G04310	AT1G18080	AT1G07890	AT1G56070	AT1G14980	AT1G62390	AT3G05700	AT4G30660	AT1G16820	AT5G23660	AT5G46330	AT5G02750	AT3G52510	AT3G62090	AT4G34530	AT4G31820	AT3G20810	AT1G07090	AT1G69410	AT2G39140	AT4G27130	AT1G07930	AT5G56120	AT3G18217	AT1G31660	AT1G02780	AT3G56330	AT5G56544	AT3G04550	AT1G01080	AT5G26200	AT2G45980	AT3G53530	AT3G15095	AT3G08950	AT1G52930	AT5G67100	AT1G08840	AT1G07745	AT2G36080	AT1G20690	AT1G19330	AT1G05970	AT3G11770	AT1G01950	AT3G50240	AT1G01950	AT2G31200	AT1G12780	AT5G66880	AT1G11720	AT5G22740	AT3G50740	AT3G61490	AT2G39700	AT1G65310	AT3G15870	AT3G17980	AT1G20120	AT3G52160	AT1G16820	AT1G65310	AT4G35770	AT3G01610	AT1G76540	AT1G20610	AT1G19040	AT4G30510	AT4G30510	AT4G37740	AT5G21170	AT1G60140	AT3G17980
AT1G05630	AT1G02400	AT1G27940	AT3G62150	AT1G73590		AT1G04610	AT2G23170	AT4G16690	AT4G28720	AT4G24670	AT1G02400	AT1G29440	AT1G04250	AT1G59750	AT1G15050	AT1G31880	AT1G15670	AT1G05010	AT1G22690	AT1G08830	AT1G75220	AT1G55490	AT1G78120	AT1G02750	AT1G75540	AT1G12080	AT3G14770	AT2G40580	AT5G10380	AT5G25340	AT1G09530	AT1G26260	AT3G08570	AT3G20810	AT2G38370	AT1G69410	AT2G39140	AT5G37475	AT1G07940	AT2G36885	AT1G18075	AT1G52930	AT1G02830	AT3G56330	AT3G23255	AT1G24610	AT1G01410	AT3G62880	AT1G17160	AT2G38370	AT1G03130	AT1G60600	AT1G52930	AT1G67630	AT2G21790	AT5G04910	AT2G36080	AT1G77180	AT1G75060	AT2G42940	AT3G03300	AT3G50240	AT3G43210	AT1G21810	AT1G01750	AT4G39210	AT4G02280	AT4G39210	AT5G22740	AT3G16920	AT4G13210	AT4G38210	AT5G13870	AT1G06090	AT1G02470	AT4G35110	AT4G34250	AT4G28070	AT3G08880	AT3G13200	AT3G25100	AT1G76540	AT3G21870	AT4G16515	AT5G17290	AT5G17290	AT4G37740	AT5G63650	AT1G60140	AT3G61300
AT1G16060	AT1G02900	AT1G28010				AT1G08980	AT4G03400	AT4G27260	AT5G11320		AT1G02900	AT1G29450	AT1G04550	AT2G46530	AT1G15580	AT1G73830	AT1G31880	AT1G17870	AT2G07680	AT1G08840	AT2G17870	AT1G74250	AT1G79920	AT3G05700	AT3G05890	AT1G05780	AT4G15920	AT1G07860		AT1G28327	AT2G46970	AT4G34530	AT5G58140	AT5G02840	AT1G12910	AT5G38050	AT2G39140	AT4G27130	AT1G09590	AT4G39630	AT5G66045	AT1G67120	AT1G04270	AT3G21300	AT5G02680	AT5G14260	AT1G01760	AT5G63000	AT3G17810	AT4G32770	AT4G02770	AT1G60600	AT3G59550	AT5G04050	AT2G07690	AT5G16630	AT1G06070	AT3G55580	AT5G26040	AT4G15950	AT3G20550	AT1G01950	AT4G38950	AT3G16800	AT2G31200	AT1G12780	AT3G52340	AT4G39210	AT4G23990	AT4G36220	AT3G62110	AT1G26770	AT3G44990	AT1G06090	AT3G61300	AT3G26840	AT4G34250	AT1G15700	AT3G08880	AT3G13200	AT2G29680	AT1G20930	AT1G20610	AT4G16515	AT3G49590	AT3G49590	AT5G51451	AT5G63650	AT2G18700	AT1G12080
AT1G32080	AT1G04100	AT1G70940				AT1G21430	AT4G27260	AT5G55250	AT4G13260		AT1G04240	AT1G29460	AT1G05180	AT3G61830	AT3G15540	AT2G44080	AT1G67710	AT1G22985	AT4G32980	AT1G10370	AT2G23680	AT1G75220	AT1G80030	AT1G02750	AT1G75540	AT4G21560	AT3G14770	AT4G15530		AT1G75440	AT1G09530	AT4G34530	AT3G45780	AT3G20810	AT3G30180	AT5G05140	AT2G39140	AT1G11480	AT1G09690	AT5G13650	AT5G14545	AT1G80750	AT1G04480	AT3G56330	AT5G22210	AT5G28500	AT1G01860	AT1G17530	AT2G45980	AT3G09640	AT3G21055	AT1G60600	AT5G43990	AT4G32700	AT4G02060	AT5G41370	AT1G06760	AT3G55580	AT4G14385	AT2G42940	AT3G20550	AT3G43210	AT3G50240	AT3G16800	AT1G01750	AT4G39210	AT4G02280	AT1G42430	AT3G24740	AT2G38080	AT5G49215	AT4G28250	AT4G14130	AT1G02205	AT5G05960	AT2G06925	AT3G52160	AT1G05780	AT1G80080	AT4G35770	AT3G25100	AT1G20930	AT3G21870	AT3G04410	AT3G49590	AT3G49590	AT4G16515	AT5G63650	AT2G18700	AT2G17290
AT1G50920	AT1G04180	AT1G73590				AT1G28130	AT4G37390	AT5G58310	AT5G11320		AT1G07135	AT1G29500	AT1G12820		AT3G23030	AT3G19820	AT1G75450	AT1G25560	AT5G25900	AT1G11755	AT2G36530	AT1G79920	AT2G24860	AT1G02750	AT2G24040	AT3G11530	AT4G15920	AT1G61665		AT5G18540	AT2G18790	AT4G34530	AT4G37590	AT3G60250	AT3G30180	AT5G12120		AT4G27130	AT1G11480	AT2G31060	AT1G78206	AT2G01250	AT1G05190	AT3G21300	AT2G07792	AT3G04550	AT1G02140	AT3G18970	AT5G67570	AT1G10070	AT4G28660	AT1G60600	AT3G59550	AT5G64420	AT2G31270	AT1G70660	AT1G19040	AT5G26770	AT1G52740	AT1G05970	AT3G20550	AT3G50240	AT1G27920	AT5G23430	AT1G01750	AT4G39210	AT3G52340	AT4G32190	AT1G24070	AT2G40890	AT1G04680	AT4G28250	AT1G10550	AT5G22500	AT5G28010	AT1G20120	AT5G04530	AT5G13130	AT1G21410	AT1G48605	AT3G25100	AT2G38620	AT1G70210	AT4G16515	AT2G45980	AT4G21980	AT4G16515	AT5G63650	AT1G70290	AT1G21550
AT1G51140	AT1G04240	AT1G76520				AT1G48910	AT5G13320	AT1G04250	AT5G25620		AT1G09250	AT1G29510	AT1G15050		AT3G23050	AT3G30180	AT1G80440	AT1G28360	AT1G15550	AT1G12060	AT3G22310	AT2G04030	AT2G25140	AT1G75490	AT3G05890	AT2G31710	AT4G15920	AT3G57770		AT2G38830	AT1G09570	AT3G52740	AT1G09570	AT2G18915	AT3G30180	AT1G07920		AT1G76820	AT1G14071	AT3G08740	AT5G03552	AT2G34480	AT1G07070	AT2G19870	AT4G28020	AT2G39730	AT1G02150	AT1G17530	AT2G45980	AT5G01600	AT5G11450		AT5G43990	AT1G67630	AT2G31270	AT5G64520	AT1G19040	AT5G14170	AT2G18050	AT2G36490	AT5G13010	AT1G01950	AT1G14690	AT5G57410		AT4G39210	AT4G32770	AT5G55700	AT4G23990	AT4G36220	AT2G43870	AT5G02260	AT3G44990	AT1G02190	AT3G23470	AT5G33370	AT1G36160	AT2G31710	AT1G77000	AT5G41770	AT1G16550	AT1G18670	AT1G70620	AT5G51451	AT4G21980	AT1G73130	AT4G16515	AT3G52180	AT1G78580	AT5G04880
AT1G51940	AT1G04250	AT1G77110				AT1G70560	AT5G13370	AT1G70560			AT1G10550	AT1G56150	AT1G15580		AT4G32280	AT3G61460	AT3G16857	AT1G56010	AT1G74670	AT1G18800	AT3G26744	AT2G25140	AT2G25290	AT1G36060	AT1G75540	AT1G12080		AT1G34420		AT5G03240	AT3G16500	AT3G44450	AT1G09570	AT3G20810	AT4G34530	AT1G07920		AT1G76720	AT1G14320	AT4G29060	AT1G14071	AT3G01800	AT1G07320	AT3G56330	AT4G16510	AT3G04550	AT1G02780	AT2G30160	AT3G17810	AT3G26840	AT2G34430		AT5G62440	AT5G67100	AT3G62300	AT1G70660	AT1G19490	AT4G16280	AT4G14385	AT4G16280	AT1G67195	AT3G17360	AT3G63480	AT1G53510		AT4G27830	AT4G10120	AT1G43670	AT5G22740	AT2G41370	AT5G47500	AT4G38400	AT4G14130	AT1G06090	AT2G38530	AT1G58725	AT5G04530	AT5G04750	AT1G77000	AT4G22860	AT1G05910	AT3G54180	AT3G09360	AT4G27410	AT1G73130	AT2G47770	AT3G59900	AT1G78290	AT1G78580	AT2G01540
AT1G52340	AT1G04550	AT1G77690				AT1G80360	AT5G54510	AT1G80360			AT1G11000	AT1G75590	AT1G15750			AT5G04240	AT3G21510	AT1G62380	AT2G01570	AT1G27730	AT3G55990	AT2G33210	AT2G33210	AT3G05700	AT5G39610	AT1G05780		AT3G26350		AT5G18310	AT2G46970	AT4G08810	AT1G09570	AT2G25930	AT4G34530	AT1G07930		AT1G76720	AT1G16720	AT1G69410	AT5G08210	AT3G11964	AT1G07770	AT4G38020	AT1G76170	AT5G38420	AT1G02830	AT1G61970	AT5G13730	AT1G65420	AT1G03130		AT1G63780	AT5G22110	AT2G31270	AT1G70660	AT1G19490	AT5G10140	AT1G53250	AT2G42940	AT1G67195	AT5G27000	AT1G18370	AT1G52410		AT1G12780	AT4G10120	AT4G27750	AT3G24740	AT4G36220	AT3G53190	AT1G20190	AT3G44990	AT5G22500	AT3G23480	AT1G59030	AT4G34250	AT4G30110	AT1G52410	AT3G05480	AT3G01610	AT5G65460	AT1G20610	AT5G13790	AT2G47770	AT3G15580	AT3G59900	AT3G50500	AT4G17770	AT4G32060
AT1G54160	AT1G04610	AT2G01420				AT2G14960		AT2G23560			AT1G11545	AT2G18010	AT1G19220			AT5G08130	AT3G59940	AT1G71130	AT2G04240	AT1G35140	AT3G61950	AT2G35540	AT3G04710	AT5G49450	AT5G02020	AT3G59370		AT2G17290		AT3G06420	AT3G62090	AT3G52740	AT5G04190	AT1G77180	AT4G34530	AT1G07940		AT1G76820	AT1G17220	AT1G76820	AT4G13564	AT3G49080	AT1G08360	AT3G21300	AT4G33380	AT5G38410	AT1G02840	AT1G17530	AT1G17160	AT1G15700	AT1G15980		AT1G63780	AT1G08260	AT2G31270	AT1G70660	AT1G21000	AT5G10140	AT2G18050	AT5G59800	AT1G67195	AT5G55520	AT1G20060	AT1G52410		AT1G12780	AT4G10120	AT4G27750	AT5G64740	AT4G36220	AT1G10640	AT4G38400	AT3G48580	AT1G02205	AT2G01540	AT1G59406	AT5G43760	AT5G04750	AT1G52410	AT3G05480	AT3G25100	AT2G31270	AT1G20610	AT5G13790	AT2G45980	AT2G45980	AT3G59900	AT5G66880	AT5G51460	AT3G51430
